dates,stock,open,close,high,low,volume,category
2008-06-03,KO,56.8600,56.4000,57.2500,56.2900,9419900,Food
2008-06-02,KO,57.0500,57.0000,57.3700,56.4500,9560600,Food
2008-05-30,KO,57.9300,57.2600,57.9900,57.0200,13415800,Food
2008-05-29,KO,57.5300,57.8700,58.1300,57.1400,12352600,Food
2008-05-28,KO,58.8400,57.4400,58.8400,57.3400,12022800,Food
2008-05-27,KO,58.5500,58.5900,58.7000,58.1100,7807100,Food
2008-05-23,KO,58.1100,58.6300,59.0400,58.0100,15291500,Food
2008-05-22,KO,56.6800,58.2700,58.4200,56.5300,12615300,Food
2008-05-21,KO,56.9100,56.6500,57.3000,56.4500,12601900,Food
2008-05-20,KO,57.5000,57.0900,57.6500,56.9600,8977600,Food
2008-05-19,KO,57.1000,57.5200,57.8400,56.9400,10004600,Food
2008-05-16,KO,57.0600,57.0700,57.4000,56.7800,8980500,Food
2008-05-15,KO,56.5000,57.0100,57.1700,56.2600,8251600,Food
2008-05-14,KO,56.6400,56.5400,57.0000,56.1900,10366100,Food
2008-05-13,KO,56.2900,56.5000,56.7600,56.2700,10438400,Food
2008-05-12,KO,56.1800,56.4000,56.4600,56.0000,8621700,Food
2008-05-09,KO,56.3400,56.1500,56.3400,55.8300,10415000,Food
2008-05-08,KO,57.3500,56.2900,57.5700,56.0500,14001400,Food
2008-05-07,KO,58.2700,57.0300,58.2800,56.9900,14933100,Food
2008-05-06,KO,58.3600,58.2700,58.3800,57.8800,6695200,Food
2008-05-05,KO,58.7700,58.3800,58.9800,58.1400,7060700,Food
2008-05-02,KO,59.0900,58.7700,59.5000,58.6000,8259500,Food
2008-05-01,KO,58.7500,59.0900,59.1600,58.4000,7563800,Food
2008-04-30,KO,59.0000,58.8700,59.7700,58.6900,11679600,Food
2008-04-29,KO,58.8000,58.7200,59.0000,58.3700,7434500,Food
2008-04-28,KO,59.3300,58.9800,59.9000,58.8600,8049000,Food
2008-04-25,KO,60.2500,59.3300,60.5000,58.9600,9401200,Food
2008-04-24,KO,60.2800,60.2500,61.0000,59.7900,6418300,Food
2008-04-23,KO,59.7600,60.3200,60.3900,59.7600,9493600,Food
2008-04-22,KO,60.2200,59.8900,60.4000,59.7000,8637000,Food
2008-04-21,KO,59.9200,60.3500,60.4400,59.6500,6214400,Food
2008-04-18,KO,60.7600,60.1100,61.0800,59.6500,11127100,Food
2008-04-17,KO,60.9900,60.6800,61.3800,60.5400,8329900,Food
2008-04-16,KO,61.7600,61.1500,61.8400,60.5400,11558800,Food
2008-04-15,KO,60.9500,60.9400,61.2200,60.4200,11720900,Food
2008-04-14,KO,60.3900,61.0000,61.3500,60.1500,10014800,Food
2008-04-11,KO,61.0200,60.2900,61.5000,60.0900,7783800,Food
2008-04-10,KO,60.8800,61.3300,61.4800,60.4700,7421100,Food
2008-04-09,KO,60.5000,60.7800,60.8300,60.3100,6497800,Food
2008-04-08,KO,60.2700,60.5100,60.5700,59.8700,9971400,Food
2008-04-07,KO,60.4900,60.3700,60.6100,60.2700,8096600,Food
2008-04-04,KO,60.6700,60.2500,60.9300,60.2000,7631400,Food
2008-04-03,KO,60.4700,60.5600,60.9018,60.2500,8088100,Food
2008-04-02,KO,61.3700,60.4600,61.3700,60.2100,9083500,Food
2008-04-01,KO,61.0100,61.4400,61.5000,60.8950,12936600,Food
2009-04-01,PEP,51.0100,52.2200,52.4300,51.0000,7010900,Food
